Date,ProductCategory,ProductName,Revenue,CompetitionLevel,MarketingCampaign,CustomerID,Gender,Age,Location,AveragePurchaseAmount
16/05/2021,Haircare,Styling Gel,298.11,Medium,None,1,Female,32,Suburb,150.69
06/07/2021,Skincare,Cleanser,241.82,Medium,None,2,Male,48,City,156.4
10/02/2021,Haircare,Shampoo,97.44,Medium,Low,3,Female,52,Suburb,175.18
19/04/2022,Skincare,Cleanser,66.11,Medium,Medium,4,Male,40,City,135.17
29/11/2022,Accessories,Earrings,216.16,Low,Medium,5,Male,26,City,57.48
17/03/2022,Accessories,Bracelet,177.66,Medium,Low,6,Female,53,City,169.1
24/08/2022,Makeup,Mascara,99.03,Low,Low,7,Female,63,Rural,15.11
09/02/2022,Makeup,Mascara,345.86,Medium,None,8,Male,65,Rural,104.35
10/12/2021,Makeup,Foundation,96.93,Low,Medium,9,Male,30,City,50.98
05/03/2021,Skincare,Moisturizer,21.03,High,None,10,Male,61,Rural,49.72
25/10/2022,Makeup,Eyeshadow,194.45,Medium,None,11,Male,26,Suburb,39.72
29/09/2022,Haircare,Conditioner,667.59,Medium,Low,12,Female,29,City,156.27
06/09/2022,Skincare,Moisturizer,266.55,Low,None,13,Male,18,City,106.28
27/07/2021,Makeup,Mascara,513.37,High,Low,14,Female,55,Suburb,104.22
12/01/2022,Haircare,Shampoo,31.57,Low,None,15,Female,53,Suburb,19.42
24/03/2022,Haircare,Shampoo,183.66,Medium,Low,16,Female,51,Rural,15.7
01/07/2021,Fragrances,Body Mist,43.12,Low,Low,17,Male,33,Suburb,77.46
09/06/2022,Haircare,Conditioner,208.18,High,Low,18,Female,32,Rural,189.13
09/08/2022,Haircare,Shampoo,235.29,High,None,19,Female,25,Suburb,81.79
03/07/2022,Fragrances,Body Mist,87.68,Medium,None,20,Female,28,Suburb,39.35
07/12/2021,Skincare,Serum,91.15,Medium,Low,21,Female,59,Suburb,151.42
09/07/2021,Skincare,Cleanser,41.11,Low,None,22,Male,21,Suburb,91.75
12/04/2022,Accessories,Necklace,199.41,Low,Medium,23,Female,41,Suburb,148.84
20/03/2021,Haircare,Hair Oil,136.2,Low,Low,24,Male,33,Rural,164.15
26/12/2022,Accessories,Handbag,95.01,Low,Low,25,Male,56,Rural,174.59
09/04/2021,Accessories,Earrings,366.99,Low,Low,26,Male,42,City,134.15
12/05/2022,Makeup,Lipstick,131.53,Low,High,27,Female,63,City,34.49
25/11/2021,Skincare,Sunscreen,138.49,High,Low,28,Female,31,Suburb,137.99
05/02/2022,Skincare,Moisturizer,178.41,Low,None,29,Male,57,Suburb,124.17
12/09/2021,Skincare,Serum,298.64,Low,None,30,Male,63,City,100.41
09/12/2022,Fragrances,Perfume,89.48,Medium,Low,31,Female,25,Rural,44.16
27/06/2021,Fragrances,Perfume,197.78,High,None,32,Female,36,Suburb,82.35
22/05/2021,Accessories,Bracelet,115.61,Medium,None,33,Female,33,Rural,183.95
15/10/2021,Accessories,Handbag,359,Low,None,34,Male,39,City,176.41
29/01/2021,Skincare,Moisturizer,46.86,Medium,Low,35,Male,27,City,153.55
27/09/2022,Accessories,Earrings,154.56,Medium,Low,36,Male,49,City,16.17
01/06/2022,Skincare,Cleanser,216.15,High,Low,37,Male,53,Rural,177.87
04/04/2021,Makeup,Eyeshadow,107.14,Low,Low,38,Female,25,City,104.18
25/09/2021,Accessories,Necklace,184,Low,Low,39,Female,51,Suburb,175.77
17/12/2021,Haircare,Hair Oil,221.34,Low,None,40,Male,22,City,82.73
14/12/2022,Accessories,Necklace,32.09,High,Low,41,Male,57,City,100.99
22/09/2022,Skincare,Serum,57.35,Medium,Medium,42,Male,28,City,132.9
03/10/2022,Makeup,Eyeshadow,349.28,Low,High,43,Female,40,City,164.01
07/06/2022,Skincare,Cleanser,198.31,Medium,Medium,44,Male,49,Rural,65.42
02/11/2022,Makeup,Eyeshadow,221.6,Medium,None,45,Female,32,City,96.51
02/06/2022,Skincare,Sunscreen,263.63,Medium,Medium,46,Male,28,Suburb,107.51
25/01/2021,Makeup,Lipstick,88.1,Low,None,47,Male,42,Suburb,33.08
28/06/2022,Haircare,Styling Gel,470.15,Low,Low,48,Female,65,Suburb,125.53
11/11/2022,Accessories,Bracelet,199.26,Medium,None,49,Male,40,City,172.98
23/01/2022,Accessories,Handbag,49.47,High,None,50,Female,55,Rural,87.94
27/03/2021,Fragrances,Perfume,17.33,Medium,High,51,Female,65,Rural,49.41
18/01/2021,Makeup,Mascara,309.42,Medium,None,52,Male,64,Suburb,115.27
16/01/2022,Fragrances,Perfume,400.45,Medium,Low,53,Male,33,Suburb,159.32
07/06/2021,Skincare,Sunscreen,295.46,High,Low,54,Male,52,Suburb,159.1
02/09/2021,Fragrances,Cologne,190.13,Low,Medium,55,Female,52,Rural,153.51
07/08/2021,Accessories,Handbag,106.02,Low,None,56,Female,55,Suburb,175.57
18/10/2022,Makeup,Mascara,251.27,Medium,None,57,Male,38,Suburb,56.49
